HouseNumber,SRID_29193
1181,POINT (350185.877619 7346793.242802)
1171,POINT (350177.167814 7346800.967546)
1161,POINT (350168.445511 7346806.895496)
1151,POINT (350160.819034 7346813.227186)
1180,POINT (350179.770363 7346766.795045)
1170,POINT (350171.958739 7346773.359293)
1160,POINT (350164.147115 7346779.304309)
1150,POINT (350156.459517 7346786.735515)
1140,POINT (350147.776589 7346792.859705)
1130,POINT (350137.931221 7346800.370205)
1120,POINT (350128.861747 7346808.655618)
1141,POINT (350152.604440 7346819.171166)
1131,POINT (350144.523204 7346825.121422)
1121,POINT (350137.338324 7346831.554219)
1110,POINT (350119.404326 7346815.159862)
1111,POINT (350129.995143 7346837.725675)
1100,POINT (350108.841379 7346822.334710)
1101,POINT (350121.899662 7346844.905247)
1090,POINT (350099.497946 7346829.936291)
1091,POINT (350113.931890 7346851.103352)
1080,POINT (350091.331643 7346837.517424)
1081,POINT (350105.765588 7346858.684485)
1070,POINT (350081.201226 7346844.354456)
1071,POINT (350095.635170 7346865.521517)
1060,POINT (350072.934319 7346851.047428)
1061,POINT (350087.368264 7346872.214489)
1001,POINT (350040.597466 7346908.469548)
0991,POINT (350032.484254 7346914.932140)
1020,POINT (350050.722189 7346869.803816)
1010,POINT (350042.163956 7346877.022494)
1000,POINT (350032.845060 7346884.431157)
0990,POINT (350023.335887 7346891.649835)
0980,POINT (350014.397323 7346899.058498)
0970,POINT (350006.033388 7346908.752672)
0960,POINT (349997.216555 7346915.513943)
0950,POINT (349989.202058 7346921.160411)
0940,POINT (349980.042148 7346926.577420)
0930,POINT (349971.505075 7346932.893369)
0920,POINT (349962.629670 7346940.117312)
0910,POINT (349952.877576 7346947.778814)
0900,POINT (349944.221416 7346954.455192)
1031,POINT (350064.566593 7346889.456884)
1021,POINT (350056.051267 7346895.758934)
1011,POINT (350047.569795 7346903.269773)
0961,POINT (350008.996085 7346933.456789)
